Type of data.;f(vij)obs;prediction_trainig;fref;sIcI;sIcIV;sIIcIV;sIIIcII;sIIIcIII;sIIIcvII;sIVcIV;sVcv;sVIcvI
synthetic;0;training;0.1667;0.01221;0.46716;1.462;0.17289;0.471085799;0.774;0.85461;0;0.3159
synthetic;0;training;0.1667;0.02392;0.43654;0.8697;0.35697;0.048804623;0.44304;0.37904;1.104;0.20698
synthetic;0;validation;0.1667;0.024;0.77552;1.28064;0;0.387050347;1.52817;0.94792;0;0.43357
synthetic;0;training;0.1667;0.01276;1.32447;1.462;0;1.259976541;0.35112;1.615;0;1.28247
synthetic;0;training;0.1667;0.02261;0.42957;1.462;0;0.461123493;0.85;0.81216;0.60668;0.21456
synthetic;0;training;0.1667;0.829;2.16255;1.462;0.28272;0.043211538;1.533;0.87606;0;0.2808
synthetic;0;validation;0.1667;0.00954;0.24335;0.78819;0.32592;0.005929487;0.0573;0.28899;0.43569;0.15729
synthetic;0;training;0.1667;0.66456;0.27632;1.67112;0;0.484391026;0;0.25256;1.239;0.6477
synthetic;0;training;0.1667;0.01184;0.24649;0.67515;0.06975;0.167050939;0.34138;0.25256;0.40479;0.28077
synthetic;0;training;0.1667;0.42513;0.91344;0.43776;0;0.031971154;0.01859;0.4818;0.78729;0.19684
synthetic;0;validation;0.1667;0.00931;1.647;1.462;0.51975;0.679416117;0.4061;2.67058;0;0.5336
synthetic;1;training;0.1667;0.05992;0.91233;0;0.964;0.53;1.24425;1.615;0.289;0
synthetic;1;training;0.1667;1.01774;1.51389;1.462;0.17238;0;0;1.42447;1.239;0
synthetic;0;training;0.1667;0.3128;0.27004;1.75028;0;0.330921016;0.04288;0.32144;0;0.48
synthetic;1;validation;0.1667;0.01859;0.95183;0;0.08592;0.312937824;1.19886;0.45;0.234;0.24102
synthetic;0;training;0.1667;0.0084;0.33744;0.79968;0.964;1.20002426;0.028;1.10591;0.59328;1.27
synthetic;0;training;0.1667;0.0174;1.16965;0.47996;0.27375;0.029972404;0.7182;1.615;0.5251;0.24174
synthetic;0;training;0.1667;0.30492;0.91136;1.462;0.27;0.45462452;0.2369;0.91756;0;0.24639
synthetic;0;validation;0.1667;0.9576;0.46287;0.76117;0.40544;0.018711538;0.67167;0.31312;1.239;0.259
synthetic;0;training;0.1667;0.51064;1.647;2.20563;0.37994;0;0;1.615;0;0.45466
synthetic;0;training;0.1667;0.0117;0.28724;0.906;0.33975;0.027102564;0.0366;0.51975;0.20088;0.201
synthetic;0;training;0.1667;0.0183;0;1.46784;0;1.129544834;0.2898;1.615;0.0154;1.27
synthetic;1;validation;0.1667;0.8041;1.89532;0.82536;0;0;0;1.1826;0;0.21903
synthetic;0;training;0.4167;0.829;1.06029;0.6837;0.154;0.272319317;0.64542;0.49876;1.81232;0.15808
synthetic;1;training;0.4167;0.035;0.87091;0.798;0.18084;0.278183294;1.28112;1.1692;0.01904;0.30195
synthetic;1;training;0.4167;0.45936;1.647;0;0;0.31536873;1.11156;1.62316;0.01359;0.20394
synthetic;1;validation;0.4167;0.41445;1.14312;1.462;0.3036;0.236259263;1.10898;1.0517;0.0296;0.24955
synthetic;1;training;0.4167;0.10203;0.58739;1.23078;0.15134;0.438583069;0.8304;0.53746;0.24549;0.16848
synthetic;1;training;0.4167;0.2548;0.7618;0.51496;0.00724;0.040401826;0.17017;0.4718;0.4947;0.26904
synthetic;1;training;0.4167;0.31581;1.269;0.214;0.45567;0.149246838;0.885;0.78804;0.23432;0.259
synthetic;0;validation;0.4167;0.36456;1.02486;1.02724;0.964;1.180165671;0.79002;0.395;0.35588;1.27
synthetic;1;training;0.4167;0.01404;0.72125;1.462;0;0;0;1.23777;0.4641;0.14976
synthetic;1;training;0.4167;0.27208;0.4914;0.456;0;0.034711538;0.01638;0.4389;0.18645;0.18796
synthetic;0;training;0.4167;0.34965;0.26533;0.43428;0;0.261783501;0.34918;0.3824;0.4941;0.3072
synthetic;0;training;0.4167;0.03213;0.8745;1.2384;0;0.047584702;0.0672;0.45832;0.61513;0.2584
synthetic;1;training;0.4167;0.00606;1.1946;0.825;0;0.264920652;0.19221;0.73025;0.472;0.60025
synthetic;0;training;0.4167;0.829;0;0.59584;0;0.091337328;0.42453;0.52866;1.21144;0.225
synthetic;0;training;0.4167;0.02052;0.35482;0.96105;0.00648;0.135941123;0.10218;0.58638;0.85272;0.22648
synthetic;0;training;0.4167;0.30728;0.81483;0.37392;0.40192;0.036346154;0;0.49539;0.47242;0.16416
synthetic;0;training;0.4167;0.5538;0.96096;0.763;0;0.119214245;0.55173;0.989;0.27398;0.27745
synthetic;0;training;0.4167;0.25596;0.86142;1.58661;0.07986;0.030423061;0.20306;0.60323;0.44625;0.26448
synthetic;1;training;0.4167;0.4256;0.69264;0.56544;0.19118;0.460244444;0;0.6336;0.225;0.23976
synthetic;1;validation;0.4167;0.40824;0.82295;0.4712;0;0;0;0.3729;0.34164;0.20128
synthetic;0;training;0.4167;0.10126;0.3768;0.70666;0.26055;0.247156398;0.86768;0.55334;0.46656;0
synthetic;1;training;0.4167;0.39744;0.96876;0.4;0;0.21;0.98273;0.50944;0.3136;0.17168
synthetic;1;training;0.4167;0.59064;0.99216;1.462;0;0.397309777;0.10395;0.76279;0.02134;1.27185
synthetic;0;validation;0.4167;0.0656;0.53044;1.462;0;0.416852631;1.54048;0.494;0.12768;0.29032
synthetic;0;training;0.4167;0.01155;0.1036;0.53152;0;0.095554848;1.14224;0.2332;0.17236;0.17228
synthetic;0;training;0.4167;0.03683;0.72324;1.06436;0;0.40766671;1.33383;0.62208;0.46494;0.34958
synthetic;1;training;0.4167;0.06525;0.37696;0.912;0.23068;0.028565041;0.21736;0.3894;1.239;0.26196
synthetic;0;training;0.4167;0.045;0.73533;0.3344;0;0.041879255;0.23881;0.4983;0.21868;0.17908
synthetic;0;training;0.4167;0.02784;0.93024;1.42571;0.0252;0.483085354;0.43968;1.28089;0.02295;0.16848
synthetic;0;training;0.4167;0.05032;0.28557;1.462;0;0.447926664;1.1418;0.7363;0.98938;0.27528
synthetic;1;training;0.4167;0.35768;1.63332;1.462;0;0.016288462;1.27565;0.31152;0.22606;0.17908
synthetic;0;training;0.4167;0.01116;0.46624;0.68801;0.06888;0.023794872;0.02565;0.2788;0.009;0.2072
synthetic;0;training;0.4167;0.5246;0.29673;1.462;0.20502;0.269608974;0;0.3198;0.5394;0.17316
synthetic;0;training;0.4167;0.03066;0.24178;0.75231;0.06552;0;0;0.2542;0.56795;0.15836
synthetic;1;training;0.4167;0.23496;0.66951;0.456;0;0.032884615;0.013;0.4719;0.20601;0.20128
synthetic;0;training;0.4167;0.02528;0.47371;0.51184;0.88536;0.099591203;0.41272;0.43218;0.33228;0.24336
synthetic;1;training;0.4167;0.47244;1.183;0;0.26702;0.805;1.03806;0.70048;0.53392;0.26492
synthetic;1;training;0.4167;0.54285;0.53333;0.208;0.04071;0;0;1.17997;0.5624;0.19684
synthetic;0;training;0.4167;0.47571;0.44902;1.55193;0.1975;0.208590207;0.0304;0.56279;0.55748;0.15776
synthetic;1;validation;0.4167;0.03528;0.4816;0.53025;0;0.486907685;0.59312;0.32224;0.18998;0.29156
synthetic;1;training;0.4167;0.04727;0.11211;0.77265;0;1.183547362;0.03132;0.85894;0.34194;1.27
synthetic;0;training;0.4167;0.03894;0.60053;0.816;0;0.069020066;0.0996;0.4224;0.94689;0.19832
synthetic;0;training;0.4167;0.829;0.58529;1.27065;0.04125;0.431369423;0.2392;0.34374;1.239;0.21128
synthetic;1;validation;0.4167;0.4554;0.83375;1.78011;0.38532;0.067846154;0.5555;1.2719;0.97146;0.22464
synthetic;1;training;0.4167;0.392;0.58315;0.282;0;0.181761835;1.02735;0.59354;0.16224;0.25375
synthetic;1;training;0.4167;0.0394;0.56277;0.72928;0;0.067487179;0.0748;0.40548;0.1164;0.18688
synthetic;0;training;0.4167;0.0588;0;1.462;0;0.121896038;0.2898;1.386;0.0369;0.30951
synthetic;1;validation;0.4167;0.4158;0.7254;0.85925;0;0.022211538;0.88641;0.3894;0.43095;0.23532
synthetic;0;training;0.1667;0.829;1.10565;0.903;0.2506;0.306035042;0.69053;0.3707;1.239;0.15504
synthetic;0;training;0.1667;0.05;1.37428;0.88008;0.14916;0.289021604;1.533;1.25768;0.01751;0.30855
synthetic;0;training;0.1667;0.4224;1.9038;0;0;0.213431363;0.9204;1.615;0.01152;0.30096
synthetic;1;training;0.1667;0.33463;0.88332;1.462;0.27555;0.205545559;0.909;1.58564;0.033;0.2759
synthetic;0;training;0.1667;0.08379;0.52126;1.10433;0.13442;0.337561126;0.97572;0.4886;0.26754;0.2997
synthetic;0;training;0.1667;0.4655;0.65046;0.40672;0.00592;0.040158441;0.16159;0.34711;0.45396;0.1596
synthetic;1;training;0.1667;0.42543;1.00815;0.208;0.36852;0.152062816;0.82836;0.796;0.28886;0.29156
synthetic;0;validation;0.1667;0.30752;0.74803;0.842;0.964;1.060305095;0.90288;0.475;0.35588;1.27
synthetic;1;training;0.1667;0.02088;0.8655;1.4603;0;0;0;1.16496;0.6981;0.1872
synthetic;0;training;0.1667;0.35084;0.90792;0.49552;0;0.028682692;0.01352;0.3993;0.198;0.26048
synthetic;0;training;0.1667;0.31265;0.20096;0.51324;0;0.276149669;0.23205;0.36328;0.42822;0.4728
synthetic;0;validation;0.1667;0.02961;0.93015;0.7224;0;0.073470781;0.0888;0.36396;0.80371;0.29792
synthetic;1;training;0.1667;0.0084;1.0164;1.0626;0;0.251334977;0.21158;1.0465;0.4012;0.45276
synthetic;0;training;0.1667;0.829;0;0.4104;0;0.103515638;0.50997;0.33561;1.33099;0.2805
synthetic;0;training;0.1667;0.02812;0.4553;1.29;0.00632;0.091101905;0.10296;0.39766;0.97614;0.19912
synthetic;0;validation;0.1667;0.36616;0.78369;0.40672;0.37376;0.035;0;0.57964;0.40664;0.24472
synthetic;0;training;0.1667;0.6864;0.8736;0.99953;0;0.200496684;0.49274;0.736;0.32984;0.2511
synthetic;0;training;0.1667;0.2997;0.69734;1.462;0.08184;0.038211365;0.17589;0.3707;0.46665;0.228
synthetic;0;training;0.1667;0.38976;0.51012;0.4712;0.28756;0.622488889;0;0.5313;0.2556;0.23088
synthetic;0;validation;0.1667;0.36936;1.05185;0.30704;0;0;0;0.6567;0.25185;0.2368
synthetic;0;training;0.1667;0.06893;0.44902;0.40097;0.2619;0.151530411;0.7854;0.6443;0.35964;0
synthetic;0;training;0.1667;0.29664;1.20888;0.362;0;0.250384615;0.79891;0.54526;0.49;0.185
synthetic;0;training;0.1667;0.63237;0.85488;1.462;0.80864;0.42439908;0.11088;0.74997;0.0209;1.32675
synthetic;0;validation;0.1667;0.0728;0.69064;1.41266;0.10058;0.336407386;1.533;0.46683;0.16416;0.20216
synthetic;0;training;0.1667;0.00882;0.09128;0.5285;0.03348;0.094751866;1.22661;0.35616;0.17732;0.19272
synthetic;0;training;0.1667;0.03306;0.42066;1.63262;0;0.510942276;0.89436;0.43632;0.57078;0.3405
synthetic;0;training;0.1667;0.0855;0.4092;1.134;0.27334;0.039458489;0.24739;0.3828;1.239;0.26048
synthetic;0;validation;0.1667;0.08235;0.65913;0.52592;0;0.045752481;0.15444;0.6039;0.26334;0.29008
synthetic;0;training;0.1667;0.03672;1.04448;1.06679;0.04176;0.294501232;0.37785;1.34992;0.01887;0.30456
synthetic;0;training;0.1667;0.05474;0.21543;1.462;0;0.381108874;1.32864;0.66864;0.96866;0.27972
synthetic;0;training;0.1667;0.36031;1.5705;1.462;0;0.023557692;1.533;0.28084;0.18334;0.25604
synthetic;0;validation;0.1667;0.0162;0.3472;0.72016;0.06776;0.028442308;0.03401;0.25584;0.01341;0.29304
synthetic;0;training;0.1667;0.427;0.24806;1.05203;0.16214;0.358166667;0;0.20992;0.319;0.16576
synthetic;0;training;0.1667;0.03948;0.26219;1.01594;0.08792;0;0;0.2706;0.3377;0.19832
synthetic;0;training;0.1667;0.21716;0.83559;0.43472;0;0.025394231;0.01339;0.3465;0.31941;0.23828
synthetic;0;validation;0.1667;0.01632;0.41403;0.58039;0.77588;0.120473229;0.43428;0.57036;0.31824;0.21168
synthetic;1;training;0.1667;0.44196;1.352;0;0.19592;0.9;0.98118;0.69252;0.68432;0.18944
synthetic;0;training;0.1667;0.7007;0.65363;0.32;0.03726;0;0;0.70041;0.3256;0.18944
synthetic;0;training;0.1667;0.8478;0.54636;1.55193;0.16116;0.186107431;0.02848;0.59312;0.61902;0.21924
synthetic;1;training;0.1667;0.01998;0.6235;0.69185;0;0.333723244;0.34037;0.58064;0.23345;0.16132
synthetic;0;training;0.1667;0.0319;0.13875;0.7676;0;1.20002426;0.04002;0.87817;0.52542;1.27
synthetic;0;training;0.1667;0.04334;0.73854;1.044;0;0.039224518;0.0984;0.4653;1.07163;0.19536
synthetic;0;training;0.1667;0.829;0.63452;0.903;0.05;0.499035215;0.2415;0.36733;1.77018;0.26904
synthetic;0;validation;0.1667;0.4485;1.25396;1.462;0.47424;0.058961538;0.7272;1.5456;1.239;0.27072
synthetic;0;training;0.1667;0.32256;1.07365;0.43428;0;0.180673441;1.50678;0.92552;0.18144;0.34104
synthetic;0;training;0.1667;0.038;0.41625;1.2728;0;0.064615385;0.0472;0.42837;0.19206;0.20148
synthetic;0;training;0.1667;0.0318;0;1.462;0;0.07908731;0.26726;1.615;0.0459;0.19729
synthetic;0;validation;0.1667;0.4032;0.59436;0.80033;0;0.020461538;0.69345;0.3564;0.3094;0.27528
synthetic;0;training;0.4167;0.23595;0.48256;1.55805;0.57687;0.215082052;0.66624;1.31532;0.26019;0.10282
synthetic;1;training;0.4167;0.01521;0.93853;0.67944;0;0.565770839;0.7968;1.1304;0.01936;0.27547
synthetic;1;training;0.4167;0.37968;1.13226;1.462;0;0.162800202;1.37352;1.615;0.3247;0.2445
synthetic;1;validation;0.4167;0.50962;1.17776;1.462;0.26712;0.255507116;1.13928;1.50474;0.0374;0.23302
synthetic;1;training;0.4167;0.53613;1.35024;0.5436;0;0.299422803;0.59362;0.31773;0.414;0.23881
synthetic;1;training;0.4167;0.3675;0.64842;0.39688;0;0.456368319;1.533;0.18696;0.21504;0.28416
synthetic;1;training;0.4167;0.28971;0.93765;0.214;0;0.274557862;1.35936;0.50546;0.37611;0.22052
synthetic;1;validation;0.4167;0.41175;0.8393;1.462;0;0.986711111;0;0.435;0.465;1.27
synthetic;1;training;0.4167;0.0438;0.52936;0.78624;0;0;0;0;0.15553;1.78868
synthetic;1;training;0.4167;0.23496;0.73944;0.31616;0.43692;0.021557692;0.01898;0.5412;0.20916;0.17612
synthetic;0;training;0.4167;0.28461;0.49926;0.5168;0;0.075443765;0.08736;0.36531;0.66392;0.2565
synthetic;0;training;0.4167;0.4268;0.64083;0.96096;0;0.080161449;0.08832;0.43056;0.82773;0.20264
synthetic;1;training;0.4167;0.02839;1.262;0.9465;0;0.285299164;0.25032;0.91982;0.81286;0.18774
synthetic;0;training;0.4167;0.15984;0;0.60496;0.10626;0.143856292;0.33108;0.58509;0.60378;0.174
synthetic;0;training;0.4167;0.03154;0.30615;1.13811;0;0.029385304;0.09424;0.20664;0.25568;0.1924
synthetic;0;training;0.4167;0.42465;0.7785;0.4428;0;0.030692308;0;0.58301;0.70228;0.29944
synthetic;0;training;0.4167;0.40125;0.69888;0.763;0;0.128394355;0.68359;0.94875;0.231;0.15232
synthetic;0;training;0.4167;0.23345;0.96104;1.49124;0;0.306035042;0.37129;0.63019;0.384;0.27056
synthetic;1;training;0.4167;0.33072;0.53352;0.40736;0.48988;0.645666667;0;0.627;0.50196;0.21608
synthetic;1;validation;0.4167;0.4704;0.9265;0.51072;0;0;0;0.5148;0.34069;0.26196
synthetic;0;training;0.4167;0.45436;0.18997;0.46816;0.07986;0.10732136;0.41385;0.33858;0.819;0.2865
synthetic;1;training;0.4167;0.0975;1.647;1.39278;0;0.398352286;1.533;1.33152;0.0312;0.18688
synthetic;1;training;0.4167;0.53286;0.68016;1.462;0.63248;0.373054313;0.1485;1.21149;0.02622;0.9618
synthetic;0;validation;0.4167;0.35815;0.54112;1.17438;0.1128;0.353905607;1.26586;0.31616;0.39304;0.19456
synthetic;0;training;0.4167;0.0504;0.06216;0.50132;0.03024;0.105993613;0.94754;0.32224;0.16244;0.17812
synthetic;0;training;0.4167;0.02227;1.10285;0.53083;0.16269;0.497414962;0.4416;0.37932;0.38178;0.3056
synthetic;0;training;0.4167;0.00505;0.37962;0.5355;0.01386;0.032938743;0.2204;0.41216;0.13694;0.24912
synthetic;0;validation;0.4167;0.03222;1.13715;0.99176;0.00545;0.461992525;0.3151;0.69184;0.88914;0.21903
synthetic;0;training;0.4167;0.05236;0.23046;1.26208;0;0.373684675;1.35632;0.56914;0.53872;0.29008
synthetic;1;training;0.4167;0.45415;1.64379;1.462;0;0.016019231;1.19335;0.24072;0.25542;0.25752
synthetic;0;training;0.4167;0.02782;0.44888;0.6837;0.008;0.058525641;0.0226;0.50213;0.68975;0.19
synthetic;0;validation;0.4167;0.33635;0.17427;1.462;0.01417;0.247961538;0;0.22632;0.25284;0.21756
synthetic;0;training;0.4167;0.0195;0.59346;0.94815;0.0375;0.114199028;0.48594;0.65378;0.46172;0.23408
synthetic;1;training;0.4167;0.25345;1.21549;0.4221;0.01372;0.12;0.056;0.59984;0.38775;0.16241
synthetic;1;training;0.4167;0.01265;1.04437;0.37485;0.05992;0.255369407;0;0.58144;0.63888;0.28368
synthetic;1;validation;0.4167;0.06104;1.0976;0;0.964;0;0;1.8836;0.43061;0
synthetic;1;training;0.4167;0.43792;0.56942;0.296;0.03321;0;0;0.65624;0.3782;0.148
synthetic;0;training;0.4167;0.29946;0.59974;1.41321;0.32899;0.137302471;0.03008;0.4381;0.14061;0.26928
synthetic;1;training;0.4167;0.02712;0.92208;1.462;0;0.462670989;0.4816;1.615;0.1936;0
synthetic;0;validation;0.4167;0.00768;0.13764;0.85345;0.964;1.191134204;0.04118;0.78843;0.3976;1.27
synthetic;1;training;0.4167;0.03948;0.43268;0.618;0;0.063362684;0.0906;0.4818;0.57834;0.22348
synthetic;0;training;0.4167;0.27398;0.11211;0.86999;0.03509;0.381570747;0.26216;0.35496;0.7828;0.20276
synthetic;1;training;0.4167;0.51642;0.57276;1.19718;0.15958;0.025038462;0.84727;0.48944;1.12332;0.18204
synthetic;1;validation;0.4167;0.39375;0.71744;0.46629;0;0.112104605;0.60137;0.94208;0.35952;0.21721
synthetic;1;training;0.4167;0.02604;0.32899;1.002;0;0.027641026;0.024;0.40986;0.27745;0.294
synthetic;1;training;0.4167;0.47124;0.585;0.52288;0;0.024846154;0.01443;0.5742;0.30498;0.23236
synthetic;0;training;0.1667;0.2145;0.42848;1.462;0.87703;0.285312926;0.64195;1.24074;0.18585;0.15811
synthetic;0;validation;0.1667;0.02015;0.82768;0.5928;0;0.562941984;0.6225;1.29996;0.01221;0.30807
synthetic;1;training;0.1667;0.35934;1.002;1.47;0;0.236569044;0.96996;1.6337;0.2465;0.24776
synthetic;0;training;0.1667;0.59251;0.94394;1.78794;0.30528;0.197984572;1.1817;1.23777;0.0374;0.36863
synthetic;1;training;0.1667;0.41625;0.75864;0.56172;0;0.337086049;0.7974;0.52866;0.414;0.15301
synthetic;0;validation;0.1667;0.4606;0.67266;0.48544;0;0.305086003;1.533;0.29356;0.20736;0.2294
synthetic;1;training;0.1667;0.51156;0.88125;0.332;0;0.216830311;1.31688;0.4776;0.23283;0.24568
synthetic;0;training;0.1667;0.50935;0.72485;1.55474;0;0.874133333;0;0.4375;0.3968;1.27
synthetic;1;training;0.1667;0.0423;0.59044;1.48932;0;0;0;0;0.17214;1.28158
synthetic;0;validation;0.1667;0.35244;0.47736;0.31008;0.63883;0.026855769;0.01495;0.6303;0.19588;0.24272
synthetic;0;training;0.1667;0.23986;0.49298;0.5168;0;0.125976853;0.1482;0.45738;0.58824;0.174
synthetic;0;training;0.1667;0.4268;0.8336;0.83776;0;0.04913121;0.12834;0.47472;0.56264;0.23989
synthetic;1;training;0.1667;0.01717;0.82661;0.81399;0;0.31926335;0.15794;1.02564;0.46928;0.22946
synthetic;0;validation;0.1667;0.1998;0;0.304;0.08712;0.143856292;0.51531;0.43065;0.50662;0.168
synthetic;0;training;0.1667;0.02356;0.20567;1.25385;0;0.030950202;0.12236;0.19352;0.22372;0.16724
synthetic;0;training;0.1667;0.44745;0.75774;0.41984;0;0.029884615;0;0.52572;0.65522;0.2812
synthetic;0;training;0.1667;0.5136;0.88608;0.80878;0;0.190377837;0.38517;1.06375;0.2565;0.17664
synthetic;0;validation;0.1667;0.27853;0.77352;1.2138;0;0.49017477;0.47539;0.53583;0.29184;0.1672
synthetic;0;training;0.1667;0.60102;0.80964;0.55328;0.42037;0.430444444;0;0.4488;0.3471;0.19092
synthetic;0;training;0.1667;0.2695;0.9592;0.47728;0;0;0;0.4356;0.38626;0.25752
synthetic;0;training;0.1667;0.44515;0.19625;0.56848;0.07458;0.146900869;0.30972;0.57024;0.6804;0.201
synthetic;0;validation;0.1667;0.10855;1.647;1.462;0;0.326518267;1.19;1.48336;0.0224;0.18688
synthetic;0;training;0.1667;0.43014;0.8736;1.462;0.9916;0.391444314;0.15345;0.97432;0.04071;1.27
synthetic;0;training;0.1667;0.37791;0.61944;1.462;0.1222;0.366545093;1.49326;0.3705;0.55777;0.21128
synthetic;0;training;0.1667;0.03605;0.10192;0.38958;0.03969;0.122856233;0.649;0.4028;0.14384;0.17082
synthetic;0;validation;0.1667;0.017;0.95215;0.5357;0.1218;0.300999823;0.3864;0.59841;0.68418;0.2144
synthetic;0;training;0.1667;0.0069;0.40014;0.63;0.00903;0.053600317;0.17176;0.50784;0.1148;0.27648
synthetic;0;training;0.1667;0.03132;0.91485;1.14576;0.006;0.477223048;0.299;0.48944;0.84042;0.1937
synthetic;0;training;0.1667;0.0357;0.24048;1.462;0;0.460300329;0.98956;0.47362;0.8029;0.19684
synthetic;0;validation;0.1667;0.35746;1.647;1.462;0;0.017903846;1.533;0.28556;0.33462;0.21164
synthetic;0;training;0.1667;0.04316;0.25792;0.7998;0.00724;0.055;0.0344;0.52572;0.8277;0.29032
synthetic;0;training;0.1667;0.31899;0.27475;1.47098;0.01846;0.387685897;0;0.25584;0.27489;0.17464
synthetic;0;training;0.1667;0.0107;0.61858;0.65145;0.02675;0.107347086;0.40584;0.59649;0.43078;0.1672
synthetic;0;validation;0.1667;0.22385;1.04273;0.40005;0.01134;0.099375;0.05024;0.4968;0.41125;0.2384
synthetic;1;training;0.1667;0.01661;1.00398;0.5796;0.10192;0.282909245;0;0.62192;0.62832;0.25344
synthetic;1;training;0.1667;0.08848;1.12504;0;0.964;0;0;1.615;0.35547;0
synthetic;1;training;0.1667;0.58259;0.50125;0.37;0.03321;0;0;0.84554;0.40565;0.18796
synthetic;0;validation;0.1667;0.34069;0.44274;1.23981;0.3152;0.124349407;0.03136;0.46843;0.21146;0.14976
synthetic;1;training;0.1667;0.03672;0.96288;1.462;0;0.560471361;0.64672;1.71509;0.232;0
synthetic;0;training;0.1667;0.00936;0.22089;0.6767;1.16512;1.20002426;0.05104;0.64741;0.3266;1.27
synthetic;0;training;0.1667;0.04676;0.71989;0.792;0;0.04525906;0.102;0.6105;1.07163;0.29452
synthetic;0;validation;0.1667;0.34196;0.12765;1.17916;0.04205;0.455765059;0.35032;0.51714;0.7725;0.22348
synthetic;0;training;0.1667;0.45486;0.35964;1.41149;0.16274;0.025980769;0.46095;0.36176;1.6192;0.23976
synthetic;0;training;0.1667;0.5733;0.61408;0.52866;0;0.134960884;0.6461;0.5888;0.3638;0.35322
synthetic;0;training;0.1667;0.01708;0.24215;0.726;0;0.022615385;0.0214;0.45441;0.2232;0.2325
synthetic;1;validation;0.1667;0.45612;0.49608;0.608;0;0.027951923;0.02041;0.6567;0.36023;0.26344
synthetic;0;training;0.0833;0.33174;1.06865;1.462;0;0;0;1.615;0;0.73532
synthetic;1;training;0.0833;0.0149;2.3684;0;0;1.20002426;1.533;1.615;0;0
synthetic;1;training;0.0833;0.27572;1.647;1.23891;0.8216;0;0;1.615;0;0
synthetic;0;validation;0.0833;0.46512;1.647;1.12065;0.9816;1.20002426;1.533;1.615;0;1.27
synthetic;0;training;0.0833;0.10971;0.53663;1.462;0;0.483192913;1.533;0.89961;0.2304;0.87474
synthetic;0;training;0.0833;0.33916;0.92718;0.43296;0.33371;0.166643679;1.25122;0.20664;0.14039;0.20088
synthetic;0;training;0.0833;0.829;1.647;1.16444;0;0;0;1.16051;0.594;0.14245
synthetic;0;validation;0.0833;0.4425;1.647;0.46453;0;0.006313617;0.41382;0.53856;0;0.2485
synthetic;1;training;0.0833;0.01166;1.1664;0;0.06864;0;0;1.38112;0;0.38624
synthetic;0;training;0.0833;0.567;0.65913;0.33075;0.24674;0.050875;0.04864;0.52992;0.82502;0.21744
synthetic;0;training;0.0833;0.14287;0.16328;0;0.1656;0.24408528;0.8536;0.2868;0;0.5723
synthetic;0;validation;0.0833;0.082;1.39689;0.5265;1.01752;0.140025395;0.45934;1.07085;0;0.158
synthetic;0;training;0.0833;0.01002;0.60759;0.52281;0.54351;0.205961538;1.21604;0.8721;0.19968;0.432
synthetic;0;training;0.0833;0.201;0;0.4408;0;0;0;0.57024;0.658;0.2655
synthetic;0;training;0.0833;0.0126;0.27004;1.08024;0;0.050748039;0.2628;0.23944;0.22729;0.28416
synthetic;0;validation;0.0833;0.47138;0.8308;0.49536;0;0.107153846;0;0.47918;0.3627;0.25384
synthetic;0;training;0.0833;0.53774;0.89856;1.35814;1.31859;1.20002426;0.61072;0.828;0.29876;1.7277
synthetic;0;training;0.0833;0.23814;1.20646;0.3496;0.34496;0.038974336;0.26169;0.4488;0.2782;0.29008
synthetic;0;training;0.0833;0.71187;0.81432;0.33744;0.4368;0.013865385;0.71154;0.5247;0.78892;0.2738
synthetic;0;validation;0.0833;0.82764;0.6758;0.4864;0.38304;0;0;0.4917;1.29068;0.24124
synthetic;0;training;0.0833;0.07381;0.2512;0.49248;0;0.313789673;0.54826;0.594;0.43365;0.186
synthetic;1;training;0.0833;0.32037;2.47338;0;0;0;0;1.615;0.56392;0.1719
synthetic;0;training;0.0833;0.6864;1.32483;1.462;0;1.082306387;0.38808;1.93651;0;1.27
synthetic;0;validation;0.0833;0.06292;1.30113;1.462;0.86553;0.919331104;1.533;1.50174;0;0.77142
synthetic;0;training;0.0833;0.01155;0.20091;0.93504;0;0.101422042;0.56784;0.47742;0.5415;0.17667
synthetic;0;training;0.0833;0.01551;0.90684;1.462;0.22487;0.411829724;1.28484;0.8873;0;0.4455
synthetic;0;training;0.0833;0.02197;0.37076;1.0704;0.29565;0.032624829;0.36504;0.69552;1.239;0.2844
synthetic;0;validation;0.0833;0.01356;0.98512;1.26063;0;0.404777844;1.533;0.99671;0;0.32007
synthetic;0;training;0.0833;0.01573;1.1662;1.462;0;1.20002426;0.34188;1.9596;0;1.00905
synthetic;0;training;0.0833;0.03383;0.50283;1.462;0;0.34103925;1.1016;0.48384;0.85249;0.27216
synthetic;0;training;0.0833;0.829;1.647;1.462;0.26752;0.042403846;1.533;0.59817;0;0.25344
synthetic;0;validation;0.0833;0.0126;0.2355;0.94094;0.2352;0.005192308;0.0522;0.25194;0.41406;0.29106
synthetic;0;training;0.0833;1.10547;0.20096;1.462;0;0.683846154;0;0.24272;1.239;1.14935
synthetic;0;training;0.0833;0.01;0.29987;0.78446;0.07425;0.172498252;0.56446;0.26404;0.41097;0.26549
synthetic;0;training;0.0833;0.55918;0.61761;0.37696;0;0.020644231;0.02249;0.4587;0.6846;0.23236
synthetic;0;validation;0.0833;0.00784;1.68824;1.462;0.5335;0.409036234;0.3193;2.4827;0;0.696
synthetic;0;training;0.0833;0.09688;1.02114;0;0.964;0.675;0.93141;1.38632;0.3468;0
